Date,Champion,Position,Kills,Deaths,Assists,KDA,Win,Damage,Vision,Gold,cs,Kp,damage%,flash
2024-12-18 14:43:57,Corki,BOTTOM,13,9,10,2.556,False,48460,25,474.528,6.142,0.479,0.314,0
2024-12-18 14:08:46,Kalista,BOTTOM,5,4,2,1.75,False,23129,24,419.062,7.739,0.5,0.258,0
2024-12-18 13:36:25,Corki,BOTTOM,7,1,10,17.0,True,25515,12,530.153,9.171,0.607,0.292,0
2024-12-18 13:01:08,Corki,BOTTOM,9,2,15,12.0,True,24372,19,497.886,8.008,0.533,0.214,0
2024-12-18 11:26:53,Varus,BOTTOM,15,6,8,3.833,True,27701,16,622.644,8.524,0.657,0.284,0
2024-12-17 01:41:28,Jhin,BOTTOM,1,6,4,0.833,False,11704,11,326.097,7.316,0.5,0.207,0
2024-12-17 00:40:06,KogMaw,BOTTOM,19,7,9,4.0,False,74421,49,577.396,8.188,0.7,0.426,1
2024-12-17 00:16:47,KogMaw,BOTTOM,7,3,7,4.667,True,15459,14,573.478,8.191,0.519,0.34,0
2024-12-16 23:28:41,Draven,BOTTOM,4,9,14,2.0,True,22833,34,444.26,6.679,0.474,0.179,0
2024-12-16 22:59:13,Jinx,BOTTOM,6,3,5,3.667,True,11064,22,489.219,8.438,0.355,0.159,0
2024-12-16 22:00:17,Ziggs,BOTTOM,9,8,14,2.875,False,49590,29,457.414,7.893,0.639,0.253,0
2024-12-16 21:15:26,Ashe,BOTTOM,0,5,8,1.6,False,15812,42,391.126,9.235,0.471,0.179,0
2024-12-16 14:24:12,Varus,BOTTOM,8,3,4,4.0,True,22284,28,521.729,9.437,0.545,0.233,0
2024-12-16 13:37:05,Corki,MIDDLE,3,9,6,1.0,False,19341,34,432.262,8.428,0.45,0.242,0
2024-12-16 12:45:06,Ashe,BOTTOM,6,4,12,4.5,True,21933,28,453.58,7.735,0.75,0.236,0
2024-12-16 12:10:41,Caitlyn,BOTTOM,7,12,1,0.667,False,19392,13,450.545,5.306,0.533,0.283,0
2024-12-15 16:20:17,Caitlyn,BOTTOM,19,4,10,7.25,True,48105,24,645.582,8.148,0.763,0.407,0
2024-12-14 22:16:31,Corki,BOTTOM,12,3,11,7.667,True,38691,33,533.398,7.998,0.622,0.331,0
2024-12-14 15:51:38,Galio,TOP,1,6,11,2.0,True,15436,25,308.696,5.137,0.48,0.165,0
2024-12-14 15:06:33,Ezreal,BOTTOM,3,8,2,0.625,False,24220,14,334.404,6.802,0.278,0.294,0
2024-12-14 14:36:14,Corki,BOTTOM,2,3,1,1.0,False,12689,17,366.999,8.519,0.333,0.26,0
2024-12-14 13:48:56,Caitlyn,BOTTOM,7,9,10,1.889,False,24723,16,377.087,6.416,0.739,0.253,0
2024-12-14 13:11:37,Ashe,BOTTOM,6,2,6,6.0,True,18319,35,506.366,9.787,0.632,0.188,0
2024-12-14 12:26:55,Ashe,BOTTOM,11,8,21,4.0,True,35639,30,466.401,6.713,0.762,0.302,1
2024-12-14 00:14:16,Corki,BOTTOM,9,7,16,3.571,True,29899,15,496.602,7.336,0.694,0.278,0
2024-12-13 23:35:33,Corki,BOTTOM,8,2,9,8.5,True,24292,39,495.129,8.998,0.654,0.335,1
2024-12-13 22:46:05,Ashe,BOTTOM,2,10,10,1.2,False,13326,17,365.188,6.713,0.571,0.161,0
2024-12-13 15:49:44,Ashe,BOTTOM,10,7,17,3.857,True,32991,25,480.974,7.355,0.509,0.208,1
2024-12-13 14:29:00,Ashe,BOTTOM,10,3,7,5.667,True,28107,37,501.661,8.925,0.586,0.277,0
2024-12-13 13:49:15,Caitlyn,BOTTOM,2,4,4,1.5,False,20373,33,463.043,9.022,0.333,0.27,0
2024-12-13 13:02:28,Jinx,BOTTOM,8,3,9,5.667,True,34827,54,500.604,8.411,0.515,0.26,0
2024-12-12 23:49:59,Varus,BOTTOM,9,4,5,3.5,True,13380,11,470.231,6.833,0.4,0.195,0
2024-12-12 23:08:20,Draven,BOTTOM,11,7,8,2.714,True,38449,16,548.078,7.495,0.404,0.275,0
2024-12-12 22:18:38,Caitlyn,BOTTOM,12,3,6,6.0,False,42229,28,534.9,8.358,0.857,0.432,0
2024-12-12 21:39:08,Ziggs,BOTTOM,6,6,17,3.833,True,26392,28,429.596,6.998,0.575,0.249,0
2024-12-12 20:57:27,Caitlyn,BOTTOM,7,8,5,1.5,False,20410,23,425.478,7.074,0.6,0.263,0
2024-12-12 20:10:40,Corki,BOTTOM,16,4,4,5.0,True,43784,49,559.195,9.532,0.588,0.348,0
2024-12-11 23:50:58,Varus,BOTTOM,8,4,8,4.0,True,30938,29,474.575,8.452,0.667,0.289,0
2024-12-11 23:25:44,Ashe,BOTTOM,6,1,4,10.0,True,8602,18,536.531,8.093,0.625,0.222,0
2024-12-11 22:32:31,Corki,BOTTOM,8,5,9,3.4,True,26724,54,467.534,8.321,0.5,0.207,0
2024-12-11 22:04:11,Caitlyn,BOTTOM,6,2,8,7.0,True,17123,31,486.241,7.973,0.538,0.227,0
2024-12-11 21:18:41,Caitlyn,BOTTOM,11,5,5,3.2,True,35353,28,479.282,7.687,0.39,0.247,0
2024-12-11 01:30:13,Ashe,BOTTOM,15,7,8,3.286,False,24235,24,514.775,6.638,0.852,0.316,0
2024-12-11 01:09:08,Corki,BOTTOM,0,0,0,Perfect KDA,False,91,0,311.915,3.83,nan,0.093,0
2024-12-11 00:31:00,Corki,BOTTOM,9,3,7,5.333,False,31729,21,507.077,8.846,0.593,0.361,0
2024-12-10 22:34:55,Ashe,BOTTOM,3,9,6,1.0,False,19308,32,364.419,7.003,0.45,0.198,0
2024-12-10 22:09:41,Caitlyn,BOTTOM,0,4,1,0.25,False,5770,7,341.609,8.543,0.25,0.169,0
2024-12-10 21:30:36,Ashe,BOTTOM,6,4,6,3.0,True,19290,27,440.795,7.5,0.462,0.253,0
2024-12-10 20:55:09,Caitlyn,BOTTOM,5,4,11,4.0,True,15344,20,462.68,7.851,0.457,0.169,0
2024-12-10 20:13:16,Draven,BOTTOM,14,5,9,4.6,True,46091,35,599.144,8.942,0.793,0.341,0
2024-12-10 18:22:43,Varus,BOTTOM,7,6,7,2.333,True,22992,27,456.432,7.62,0.424,0.195,0
2024-12-10 01:42:42,Corki,BOTTOM,2,6,4,1.0,False,19050,26,380.056,7.646,0.5,0.23,0
2024-12-10 01:11:49,Corki,BOTTOM,9,7,4,1.857,False,22718,22,488.912,7.95,0.619,0.316,0
2024-12-10 00:35:23,Syndra,MIDDLE,9,0,3,Perfect KDA,True,17085,18,498.662,8.703,0.522,0.28,0
2024-12-09 23:38:14,Varus,BOTTOM,11,2,11,11.0,True,23600,24,528.539,8.514,0.611,0.227,0
2024-12-09 23:06:54,Corki,BOTTOM,7,1,5,12.0,True,15604,20,483.283,8.898,0.48,0.231,0
2024-12-09 22:32:39,Kalista,BOTTOM,7,3,5,4.0,False,23480,34,462.808,7.738,0.545,0.269,0
2024-12-09 22:02:04,Caitlyn,BOTTOM,0,2,3,1.5,False,8577,6,330.756,7.886,0.429,0.37,0
2024-12-09 21:29:39,Draven,BOTTOM,7,2,5,6.0,True,20139,9,644.28,8.349,0.48,0.369,0
2024-12-09 20:50:31,Ashe,BOTTOM,5,3,14,6.333,True,18444,27,457.418,7.36,0.594,0.184,0
2024-12-09 20:28:46,Ashe,BOTTOM,0,2,3,1.5,True,6106,7,351.592,7.49,0.231,0.218,0
2024-12-09 19:52:29,Corki,BOTTOM,11,4,12,5.75,False,44164,24,472.117,8.046,0.885,0.439,0
2024-12-09 19:11:16,Caitlyn,BOTTOM,6,1,9,15.0,True,29216,21,471.038,8.597,0.714,0.354,0
2024-12-09 17:56:26,Kalista,BOTTOM,9,9,8,1.889,False,36665,27,491.974,7.319,0.548,0.308,0
2024-12-09 17:15:50,Corki,BOTTOM,12,3,6,6.0,False,38173,26,500.257,8.199,0.75,0.389,0
2024-12-09 16:30:58,Caitlyn,BOTTOM,8,5,11,3.8,False,31681,29,510.015,9.699,0.731,0.283,0
2024-12-09 15:52:37,Draven,BOTTOM,9,4,10,4.75,True,23717,21,551.509,7.274,0.463,0.174,0
2024-12-09 15:16:29,Caitlyn,BOTTOM,15,0,4,Perfect KDA,True,31637,26,661.499,9.278,0.633,0.336,2
2024-12-09 01:01:26,Kalista,BOTTOM,4,5,5,1.8,False,13178,25,419.952,7.565,0.562,0.23,0
2024-12-09 00:24:02,Kalista,BOTTOM,7,7,10,2.429,True,24496,36,521.556,8.214,0.436,0.26,0
2024-12-08 23:49:40,Corki,BOTTOM,10,3,8,6.0,True,25086,12,553.083,9.679,0.409,0.206,0
2024-12-08 23:11:06,Corki,BOTTOM,4,6,1,0.833,False,13737,17,399.145,8.517,0.417,0.28,0
2024-12-08 22:35:23,Draven,BOTTOM,9,7,11,2.857,True,31815,17,497.461,6.359,0.455,0.261,0
2024-12-08 22:04:10,Kalista,BOTTOM,7,8,7,1.75,False,20999,20,453.634,6.115,0.667,0.296,0
